time,position,velocity,acceleration,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11
41.6,2663.94092479782,8.58072916666667,-0.95343178158083,0,0,0,1,1,1,0,1,0,1,0
41.7,2664.71918270971,8.52864583333333,-0.938060583250045,0,0,0,1,1,1,0,1,0,1,0
41.8,2665.49468695551,8.42691140949414,-0.933572672970182,0,0,0,1,1,1,0,1,0,1,0
41.9,2666.26638181422,8.39197726259723,-0.958810471488345,0,0,0,1,1,1,0,1,0,1,0
42.0,2667.03363338852,8.38012834742771,-0.967291475280486,0,0,0,1,1,1,0,1,0,1,0
42.1,2667.79859235265,8.3092343113642,-0.961222803895873,0,0,0,1,1,1,0,1,0,1,0
42.2,2668.56190653586,8.27798883629653,-0.966471912405019,0,0,0,1,1,1,0,1,0,1,0
42.3,2669.32444864165,8.19117030920077,-0.953082869180619,0,0,0,1,1,1,0,1,0,1,0
42.4,2670.08555769874,8.154296875,-0.967948488258141,0,0,0,1,1,1,0,1,0,1,0
42.5,2670.84509812082,8.09676699298379,-0.959509818793794,0,0,0,1,1,1,0,1,0,1,0
42.6,2671.6016290999,8.02734375,-0.97082173728624,0,0,0,1,1,1,0,1,0,1,0
42.7,2672.35715873624,7.98635503847966,-0.965897894669068,0,0,0,1,1,1,0,1,0,1,0
42.8,2673.11185476853,7.98611111111111,-0.931267172638208,0,0,0,1,1,1,0,1,0,1,0
42.9,2673.8646248733,7.87115069634023,-0.914577953587903,0,0,0,1,1,1,0,1,0,1,0
43.0,2674.61562842154,7.83660479132082,-0.877538466545911,0,0,0,1,1,1,0,1,0,1,0
43.1,2675.36432188339,7.77994791666667,-0.843612757900808,0,0,0,1,1,1,0,1,0,1,0
43.2,2676.11167212482,7.74739529663808,-0.776088423438035,0,0,0,1,1,1,0,1,0,1,0
43.3,2676.85657016117,7.73763020833333,-0.71934491037784,0,0,0,1,1,1,0,1,0,1,0
43.4,2677.59794353946,7.70833333333333,-0.656112728581558,0,0,0,1,1,1,0,1,0,1,0
43.5,2678.3369038686,7.67578125,-0.6161798951517,0,0,0,1,1,1,0,1,0,1,0
43.6,2679.07451777582,7.65516493055556,-0.591849764458458,0,0,0,1,1,1,0,1,0,1,0
43.7,2679.80842204772,7.62370532557672,-0.586275116865304,0,0,0,1,1,1,0,1,0,1,0
43.8,2680.53699587401,7.61068312302958,-0.595982512328596,0,0,0,1,1,1,0,1,0,1,0
43.9,2681.26315688911,7.60308783791476,-0.582492681188858,0,0,0,1,1,1,0,1,0,1,0
44.0,2681.98726816121,7.5857400833427,-0.58977367270784,0,0,0,1,1,1,0,1,0,1,0
44.1,2682.70848161547,7.57056179694674,-0.590099873011579,0,0,0,1,1,1,0,1,0,1,0
44.2,2683.42621146583,7.548828125,-0.597648585730367,0,0,0,1,1,1,0,1,0,1,0
44.3,2684.14054428614,7.5390625,-0.606542154890225,0,0,0,1,1,1,0,1,0,1,0
44.4,2684.85494512007,7.52929643158099,-0.611135308393386,0,0,0,1,1,1,0,1,0,1,0
44.5,2685.56563696825,7.50217013888889,-0.626061418520386,0,0,0,1,1,1,0,1,0,1,0
44.6,2686.27361764078,7.48372395833333,-0.635841842523883,0,0,0,1,1,1,0,1,0,1,0
44.7,2686.98066379395,7.45985751208919,-0.661749420053262,0,0,0,1,1,1,0,1,0,1,0
44.8,2687.68487324226,7.4555427914221,-0.69137906254868,0,0,0,1,1,1,0,1,0,1,0
44.9,2688.38622431995,7.4136061118847,-0.723102052685669,0,0,0,1,1,1,0,1,0,1,0
45.0,2689.08809065493,7.40017361111111,-0.743347332474857,0,0,0,1,1,1,0,1,0,1,0
45.1,2689.78787490921,7.37521701388889,-0.743750430158511,0,0,0,1,1,1,0,1,0,1,0
45.2,2690.48750905885,7.36111111111111,-0.743507235536192,0,0,0,1,1,1,0,1,0,1,0
45.3,2691.18672926489,7.32530381944444,-0.743213327091213,0,0,0,1,1,1,0,1,0,1,0
45.4,2691.88320193459,7.25824139593074,-0.746554728605433,0,0,0,1,1,1,0,1,0,1,0
45.5,2692.58132471061,7.23863910832964,-0.743862521981537,0,0,0,1,1,1,0,1,0,1,0
45.6,2693.27991537871,7.21486143042686,-0.727449603806911,0,0,0,1,1,1,0,1,0,1,0
45.7,2693.98441166219,7.18455079664564,-0.718068452113562,0,0,0,1,1,1,0,1,0,1,0
45.8,2694.68578255257,7.17447916666667,-0.707262925289423,0,0,0,1,1,1,0,1,0,1,0
45.9,2695.38562896643,7.13975694444444,-0.697976400821269,0,0,0,1,1,1,0,1,0,1,0
46.0,2696.08793436272,7.1235886038286,-0.6915559528631,0,0,0,1,1,1,0,1,0,1,0
46.1,2696.79428000144,7.09309895833333,-0.682844274559411,0,0,0,1,1,1,0,1,0,1,0
46.2,2697.50379225773,7.05623445635661,-0.675799159340584,0,0,0,1,1,1,0,1,0,1,0
46.3,2698.21521414104,7.05620659722222,-0.664485535217633,0,0,0,1,1,1,0,1,0,1,0
46.4,2698.93026407979,7.02041611445897,-0.650273353174164,0,0,0,1,1,1,0,1,0,1,0
46.5,2699.64860341816,7.00305026168925,-0.623071698797888,0,0,0,0,1,1,0,1,0,1,0
46.6,2700.36769799479,6.98897009650049,-0.604802087164471,0,0,0,0,1,1,0,1,0,1,0
46.7,2701.08853785099,6.96292069774731,-0.586193618990246,0,0,0,0,1,1,0,1,0,1,0
46.8,2701.80992823038,6.95421219933776,-0.567585699650405,0,0,0,0,1,1,0,1,0,1,0
46.9,2702.53457766812,6.94878472222222,-0.541698321730625,0,0,0,0,1,1,0,1,0,1,0
47.0,2703.26285675981,6.91193502074795,-0.497694748795573,0,0,0,0,1,1,0,1,0,1,0
47.1,2703.99291748004,6.91189236111111,-0.436718298772445,0,0,0,0,1,1,0,1,0,1,0
47.2,2704.72299788009,6.91948784722222,-0.353108720485761,0,0,0,0,1,1,0,1,0,1,0
47.3,2705.45685885752,7.03117310432173,-0.282767263963072,0,0,0,0,1,1,0,1,0,1,0
47.4,2706.18969098577,6.94131277965029,-0.237423314318216,0,0,0,0,1,1,0,1,0,1,0
