time,velocity,position
8.600000000000005,7.6580544379391515,2424.9006245020846
8.700000000000005,7.704358231588787,2425.6687053158485
8.800000000000004,7.755576859767815,2426.4416600316254
8.900000000000006,7.811952296859442,2427.2199926562953
9.000000000000005,7.873666723180116,2428.004228552867
9.100000000000005,7.940824287438548,2428.794907555204
9.200000000000006,8.013432722298056,2429.592575241693
9.300000000000006,8.09138617261073,2430.3977724184715
9.400000000000006,8.174450873592642,2431.211023013472
9.500000000000005,8.262255460712323,2432.0328207549082
9.600000000000005,8.354287633183462,2432.863615184987
9.700000000000006,8.4498985753923,2433.7037977182154
9.800000000000006,8.548315950576242,2434.5536885668116
9.900000000000006,8.648665459041183,2435.4135253976438
10.000000000000007,8.750000000000007,2436.2834545372325
10.100000000000007,8.851334540958828,2437.1635253976433
10.200000000000006,8.95168404942377,2438.0536885668107
10.300000000000006,9.050101424607712,2438.953797718214
10.400000000000006,9.145712366816547,2439.8636151849855
10.500000000000007,9.237744539287688,2440.782820754907
10.600000000000007,9.325549126407367,2441.71102301347
10.700000000000006,9.40861382738928,2442.647772418469
10.800000000000008,9.486567277701955,2443.59257524169
10.900000000000007,9.55917571256146,2444.5449075552015
11.000000000000007,9.62633327681989,2445.504228552864
11.100000000000007,9.688047703140565,2446.4699926562917
11.200000000000006,9.74442314023219,2447.4416600316213
11.300000000000008,9.795641768411219,2448.4187053158444
11.400000000000007,9.841945562060854,2449.40062450208
11.500000000000007,9.883619218532724,2450.386940052386
11.600000000000009,9.920974929038993,2451.3772043912886
11.700000000000008,9.954339359380867,2452.3710019849673
11.800000000000008,9.98404295901852,2453.3679502348086
11.900000000000007,10.01041153306584,2454.367699416151
12.000000000000007,10.2,2455.3699318799368
12.100000000000009,10.2,2456.3898487598817
12.200000000000008,10.2,2457.4098487598817
12.300000000000008,10.2,2458.429848759881
12.40000000000001,10.2,2459.449848759881
12.500000000000009,10.2,2460.469848759881
12.600000000000009,10.2,2461.489848759881
12.700000000000008,10.2,2462.5098487598807
12.800000000000008,10.2,2463.5298487598807
12.90000000000001,10.2,2464.5498487598807
13.000000000000009,10.2,2465.5698487598806
13.100000000000009,10.2,2466.5898487598806
13.20000000000001,10.2,2467.60984875988
13.30000000000001,10.2,2468.62984875988
13.40000000000001,10.2,2469.64984875988
13.500000000000009,10.2,2470.66984875988
13.600000000000009,10.2,2471.68984875988
13.70000000000001,10.2,2472.7098487598796
13.80000000000001,10.2,2473.7298487598796
13.90000000000001,10.2,2474.7498487598796
14.00000000000001,10.2,2475.7698487598796
14.10000000000001,10.2,2476.7898487598795
14.20000000000001,10.2,2477.809848759879
14.30000000000001,10.2,2478.829848759879
14.40000000000001,10.2,2479.849848759879
14.50000000000001,10.2,2480.869848759879
14.60000000000001,10.2,2481.889848759879
14.70000000000001,10.2,2482.9098487598785
14.800000000000011,10.2,2483.9298487598785
14.900000000000011,10.2,2484.9498487598785
15.00000000000001,10.2,2485.9698487598785
15.10000000000001,10.2,2486.9898487598784
15.20000000000001,10.2,2488.009848759878
15.300000000000011,10.2,2489.029848759878
15.400000000000011,10.2,2490.049848759878
15.50000000000001,10.2,2491.069848759878
15.600000000000012,10.2,2492.089848759878
15.700000000000012,10.2,2493.1098487598774
15.800000000000011,10.2,2494.1298487598774
15.900000000000011,10.2,2495.1498487598774
16.00000000000001,10.2,2496.1698487598774
16.100000000000012,10.2,2497.1898487598773
16.20000000000001,10.2,2498.209848759877
16.30000000000001,10.2,2499.229848759877
16.400000000000013,10.2,2500.249848759877
16.500000000000014,10.2,2501.269848759877
16.600000000000012,10.2,2502.2898487598763
16.70000000000001,10.2,2503.3098487598763
16.80000000000001,10.2,2504.3298487598763
16.900000000000013,10.2,2505.3498487598763
17.000000000000014,10.2,2506.3698487598763
17.100000000000012,10.2,2507.389848759876
17.200000000000014,10.2,2508.409848759876
17.30000000000001,10.2,2509.4298487598758
